id,name_ch,name,match_title,match_id,similarity,match_url,true_match
458,惟靠耶穌, Trusting Jesus,Simply trusting every day,569.0,0.0,https://www.hymnal.net/en/hymn/h/569,
463,我靈鎮靜," Be Still, My Soul","Be all at rest, my soul! Oh! blessed secret",654.0,0.1,https://www.hymnal.net/en/hymn/h/654,
465,安息在那永久膀臂中, Resting On The Everlasting Arms,,,0.0,,
476,慈愛天父求引領我," Lead Us, Heavenly Father",How true it is no heart may comprehend,982.0,0.0,https://www.hymnal.net/en/hymn/h/982,
484,溫柔引領我回家," Lead Me Gently Home, Father",,,0.0,,
491,絕沒有," No, Not One","Lord, hast Thou not one word for me",810.0,0.125,https://www.hymnal.net/en/hymn/h/810,
495,我錨已拋牢, My Anchor Holds,My hope is built on nothing less,298.0,0.0,https://www.hymnal.net/en/hymn/h/298,
521,基督再臨, Christ Returneth,,,0.0,,
537,向前直往錫安, We Are Marching To Zion,,,0.0,,
538,當我們都回天家, When We All Get To Heaven,,,0.0,,
542,再不久, Sweet By And By,"Day by day, and with each passing moment",713.0,0.0,https://www.hymnal.net/en/hymn/h/713,
547,是有福禱告良辰, Tis The Blessed Hour Of Prayer,,,0.0,,
553,當告訴耶穌, Tell It To Jesus,I love to tell the story,1064.0,0.0,https://www.hymnal.net/en/hymn/h/1064,
554,要告訴耶穌, I Must Tell Jesus,I must tell Jesus all of my trials,787.0,0.428571428571429,https://www.hymnal.net/en/hymn/h/787,
572,我如困鹿切慕溪水, As Pants The Hart,As pants the hart for cooling streams,349.0,0.5,https://www.hymnal.net/en/hymn/h/349,
577,更加甘甜, Still Sweeter Every Day,"Jesus, I my cross have taken",460.0,0.0,https://www.hymnal.net/en/hymn/h/460,
599,去發光, Send The Light,I'll sing of the wonderful promise,721.0,0.0,https://www.hymnal.net/en/hymn/h/721,
613,祂除我罪, He Took My Sins Away,,,0.0,,
617,你心有空處為主嗎, Have You Any Room For Jesus?,,,0.0,,
619,讓祂進, Let Him In,Almost persuaded,1046.0,0.0,https://www.hymnal.net/en/hymn/h/1046,
621,讓耶穌來進入你心, Let Jesus Come Into Your Heart,If you are tired of the load of your sin,1038.0,0.0,https://www.hymnal.net/en/hymn/h/1038,
625,今日召你, Calling Today,Jesus is tenderly calling thee home,1028.0,0.0,https://www.hymnal.net/en/hymn/h/1028,
627,只要信祂, Only Trust Him,"Come, every soul by sin oppressed",1031.0,0.0,https://www.hymnal.net/en/hymn/h/1031,
630,主我要回家," Lord, I'm Coming Home",I've wandered far away from God,1052.0,0.0,https://www.hymnal.net/en/hymn/h/1052,
645,要將最好獻上, Our Best,All praise to our redeeming Lord,858.0,0.0,https://www.hymnal.net/en/hymn/h/858,
646,正當時日悄然而過, While The Days Are Going By,,,0.0,,
648,恩雨降恩雨, Showers Of Blessing,Prayer is the incense of a holy heart,762.0,0.0,https://www.hymnal.net/en/hymn/h/762,
672,要全心要真心," True-Hearted, Whole-Hearted",,,0.0,,
709,主裡安睡, Asleep In Jesus,,,0.0,,
712,又是一年正起首, Another Year Is Dawning,,,0.0,,
