id,name_ch,name,match_title,match_url,midi_url
84,祂不能救自己, Himself He Could Not Save,Himself He could not save,https://www.hymnal.net/en/hymn/h/105,https://www.hymnal.net/Hymns/Hymnal/midi/e0105_i.mid
85,頌讚聲音何等難得, How Pleasant Is The Sound Of Praise,How pleasant is the sound of praise,https://www.hymnal.net/en/hymn/h/113,https://www.hymnal.net/Hymns/Hymnal/midi/e0113_i.mid
87,你愛所給雖然甚多, Of All The Gifts Thy Love Bestows,Of all the gifts Thy love bestows,https://www.hymnal.net/en/hymn/h/38,https://www.hymnal.net/Hymns/Hymnal/midi/e0038_i.mid
90,有一血泉, There Is A Fountain Filled With Blood,There is a fountain filled with blood,https://www.hymnal.net/en/hymn/h/1006,https://www.hymnal.net/Hymns/Hymnal/midi/e1006_i.mid
93,我以信心仰望你, My Faith Looks Up To Thee,My faith looks up to Thee,https://www.hymnal.net/en/hymn/h/429,https://www.hymnal.net/Hymns/Hymnal/midi/e0429_i.mid
94,九十九隻羊, The Ninety And Nine,There were ninety and nine that safely lay,https://www.hymnal.net/en/hymn/h/1077,https://www.hymnal.net/Hymns/Hymnal/midi/e1077_i.mid
96,恩典美妙聲音, Grace! 'Tis A Charming Sound,Grace! 'tis a charming sound,https://www.hymnal.net/en/hymn/h/312,https://www.hymnal.net/Hymns/Hymnal/midi/e0312_i.mid
102,我今來就主十架, I Am Coming To The Cross,I am coming to the cross,https://www.hymnal.net/en/hymn/h/1062,https://www.hymnal.net/Hymns/Hymnal/midi/e1062_i.mid
113,哈利路亞祂已復活," Hallelujah, He Is Risen","Hallelujah, He is risen",https://www.hymnal.net/en/hymn/h/119,https://www.hymnal.net/Hymns/Hymnal/midi/e0119_i.mid
119,看哪聖徒榮耀光景," Look, Ye Saints! The Sight Is Glorious","Look, ye saints, the sight is glorious",https://www.hymnal.net/en/hymn/h/140,https://www.hymnal.net/Hymns/Hymnal/midi/e0140_i.mid
120,看哪冠冕已給羔羊, Behold The Lamb With Glory Crowned,Behold the Lamb with glory crowned,https://www.hymnal.net/en/hymn/h/129,https://www.hymnal.net/Hymns/Hymnal/midi/e0129_i.mid
121,冠祂萬王之王, Crown Him With Many Crowns,Crown Him with many crowns,https://www.hymnal.net/en/hymn/h/142,https://www.hymnal.net/Hymns/Hymnal/midi/e0142_i.mid
125,榮耀歸於我主, Glory To God On High,Glory to Christ on high,https://www.hymnal.net/en/hymn/h/179,https://www.hymnal.net/Hymns/Hymnal/midi/e0003_i.mid
127,我們當來同聲歡呼," Come, Let Us Join Our Cheerful Songs","Come, let us join our cheerful songs",https://www.hymnal.net/en/hymn/h/183,https://www.hymnal.net/Hymns/Hymnal/midi/e0133_i.mid
131,聽哪千萬聲音雷鳴, Hark! Ten Thousand Voices Crying,Hark! ten thousand voices crying,https://www.hymnal.net/en/hymn/h/127,https://www.hymnal.net/Hymns/Hymnal/midi/e0127_i.mid
132,神的基督榮耀的主," Lord Of Glory, We Adore Thee","Lord of glory, we adore Thee",https://www.hymnal.net/en/hymn/h/144,https://www.hymnal.net/Hymns/Hymnal/midi/e0144_i.mid
134,哦主耶穌我心喜樂," O Jesus, Lord! 'Tis Joy To Know","O, Jesus, Lord, 'tis joy to know",https://www.hymnal.net/en/hymn/h/131,https://www.hymnal.net/Hymns/Hymnal/midi/e0131_i.mid
135,榮耀榮耀永遠榮耀," Glory, Everlasting Glory","Glory, everlasting glory",https://www.hymnal.net/en/hymn/h/134,https://www.hymnal.net/Hymns/Hymnal/midi/e0134_i.mid
136,耶穌基督親愛救主," To Thee, Dear Lord, O Christ Of God","To Thee, dear Lord, O Christ of God",https://www.hymnal.net/en/hymn/h/126,https://www.hymnal.net/Hymns/Hymnal/midi/e0126_i.mid
139,救主耶穌在寶座上, Majestic Sweetness Sits Enthroned,Majestic sweetness sits enthroned,https://www.hymnal.net/en/hymn/h/177,https://www.hymnal.net/Hymns/Hymnal/midi/e0177_i.mid
140,神的兒子親愛救主, Majestic Sweetness Sits Enthroned,Majestic sweetness sits enthroned,https://www.hymnal.net/en/hymn/h/177,https://www.hymnal.net/Hymns/Hymnal/midi/e0177_i.mid
143,頌讚受膏的基督, Hail To The Lord's Anointed,Hail to the Lord's Anointed,https://www.hymnal.net/en/hymn/h/968,https://www.hymnal.net/Hymns/Hymnal/midi/e0968_i.mid
145,等到何日恩主纔回來," Oh, How Long Before My Lord Comes Back","Oh, how long before my Lord comes back",https://www.hymnal.net/en/hymn/h/962,https://www.hymnal.net/Hymns/Hymnal/midi/e0962_i.mid
146,橄欖山前一別離, Since Thy Departure,Since Thy departure from Olivet's Mountain,https://www.hymnal.net/en/hymn/h/959,https://www.hymnal.net/Hymns/Hymnal/midi/e0959_i.mid
