id,name_ch,name,match_title,match_id,similarity,match_url,true_match
49,以馬內利懇求降臨," O Come, O Come, Emmanuel",There's a light upon the mountains,954.0,0.0,https://www.hymnal.net/en/hymn/h/954,
50,哦來蒙恩群眾," O Come, All Ye Faithful",O Come All Ye Faithful,85.0,1.0,https://www.hymnal.net/en/hymn/h/85,TRUE
51,離棄寶座撇下王冕, Thou Didst Leave Thy Throne,Thou didst leave Thy throne and Thy kingly crown,1060.0,0.5,https://www.hymnal.net/en/hymn/h/1060,
52,耶穌我救主降生馬槽中," Jesus, My Saviour, To Bethlehem Came",,,0.0,,
53,我有一位奇妙救主, I Have A Friend Whose Faithful Love,"I have a Friend, whose faithful love",156.0,1.0,https://www.hymnal.net/en/hymn/h/156,TRUE
54,華美天庭, Ivory Palaces,"Lord, Thou art the lovely Bridegroom",170.0,0.0,https://www.hymnal.net/en/hymn/h/170,
55,哦主我們今想到你," O Lord, When We The Path Retrace",O Lord! When we the path retrace,87.0,1.0,https://www.hymnal.net/en/hymn/h/87,TRUE
56,在加利利沿海之地, The Coastal Land In The Galilee,,,0.0,,
57,耶穌我主榮耀王, The Glory Of Our Lord Jesus King,In the Name of Jesus,76.0,0.0,https://www.hymnal.net/en/hymn/h/76,
58,有一日, One Day,Christ is our manna true,1147.0,0.0,https://www.hymnal.net/en/hymn/h/1147,
59,哦滿了傷痕的頭, O Head Once Full Of Bruises,O Head once full of bruises,95.0,1.0,https://www.hymnal.net/en/hymn/h/95,TRUE
60,主你聖首滿傷跡," O Sacred Head, Now Wounded",,,0.0,,
61,我們的靈伏著注視, Gazing On The Lord In Glory,Gazing on the Lord in glory,136.0,1.0,https://www.hymnal.net/en/hymn/h/136,TRUE
62,耶穌獨自祈禱, It Was Alone The Savior Prayed,It was alone the Savior prayed,91.0,1.0,https://www.hymnal.net/en/hymn/h/91,TRUE
63,此時何時孤單之時, O Solemn Hour,O solemn hour! O hour alone,110.0,0.4,https://www.hymnal.net/en/hymn/h/110,
64,加略山嶺, On Calvary's Brow,On Calvary's brow my Savior died,307.0,0.5,https://www.hymnal.net/en/hymn/h/307,
65,救主為我十架受害, It Was For Me The Savior Died,It was alone the Savior prayed,91.0,0.222222222222222,https://www.hymnal.net/en/hymn/h/91,FALSE
66,主當我們漂流曠野," Lord, Thy Love Has Sought And Found Us","Lord, Thy love has sought and found us",158.0,1.0,https://www.hymnal.net/en/hymn/h/158,TRUE
67,遠山迢迢其色青青, There Is A Green Hill Far Away,There is a green hill far away,995.0,1.0,https://www.hymnal.net/en/hymn/h/995,TRUE
68,哦主求你指教我, O Teach Me What It Meaneth,O teach me what it meaneth,1076.0,1.0,https://www.hymnal.net/en/hymn/h/1076,TRUE
69,我每靜念那十字架, When I Survey The Wondrous Cross,When we survey the wondrous cross,101.0,0.428571428571429,https://www.hymnal.net/en/hymn/h/101,
70,哈利路亞何等救主, Hallelujah! What A Saviour,,,0.0,,
71,哎呀救主真曾流血, Alas! And Did My Saviour Bleed?,,,0.0,,
72,看哪神的羔羊, Behold The Lamb Of God,Behold! behold the Lamb of God,103.0,0.8,https://www.hymnal.net/en/hymn/h/103,
73,哦主甚麼使你頭垂," O Christ, What Burdens Bowed Thy Head",,,0.0,,
